,train_dataset,test_dataset,samples,train_time,accuracy,precision,recall,f1
36,EthanolLevel,EthanolLevel,1000,479.88163661956787,0.23505526260911014,0.6156907957154005,0.23505526260911014,0.15646671253203084
37,EthanolLevel,Phoneme,1000,479.88163661956787,0.1696651795336006,0.690531778863178,0.1696651795336006,0.07345824121372609
38,EthanolLevel,ECG5000,1000,479.88163661956787,0.9208002337107608,0.9266387818894035,0.9208002337107608,0.8912348095361873
39,EthanolLevel,Earthquakes,1000,479.88163661956787,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
40,Phoneme,ElectricDevices,50,1791.0329239368439,0.7423220238178468,0.7490992603070233,0.7423220238178468,0.7256048989735618
41,Phoneme,EthanolLevel,50,1791.0329239368439,0.2470134358149373,0.6212649582481692,0.2470134358149373,0.16119885776183293
42,Phoneme,Phoneme,50,1791.0329239368439,0.28104255571360837,0.4622763730513289,0.28104255571360837,0.22287886898050802
43,Phoneme,ECG5000,50,1791.0329239368439,0.9370004750550489,0.9266077242761684,0.9370004750550489,0.9173646368840852
44,Phoneme,Earthquakes,50,1791.0329239368439,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
45,Phoneme,ElectricDevices,100,2030.9493522644043,0.7568082277351129,0.763895076556775,0.7568082277351129,0.7434351902572284
46,Phoneme,EthanolLevel,100,2030.9493522644043,0.25397265171150235,0.623740710841629,0.25397265171150235,0.16331840966708083
47,Phoneme,Phoneme,100,2030.9493522644043,0.311370506271822,0.43053214942262014,0.311370506271822,0.2544793384854466
48,Phoneme,ECG5000,100,2030.9493522644043,0.9384007952311099,0.9286735656699805,0.9384007952311099,0.9193076615837521
49,Phoneme,Earthquakes,100,2030.9493522644043,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
50,Phoneme,ElectricDevices,500,726.1530334949493,0.745387512870198,0.7586942064277221,0.745387512870198,0.7279850196937264
51,Phoneme,EthanolLevel,500,726.1530334949493,0.2529657103703042,0.6249482883825123,0.2529657103703042,0.16714458943351254
52,Phoneme,Phoneme,500,726.1530334949493,0.27297849584033795,0.4050061719021416,0.27297849584033795,0.2212049701292306
53,Phoneme,ECG5000,500,726.1530334949493,0.9364004750070394,0.9259393979757657,0.9364004750070394,0.9172856699561084
54,Phoneme,Earthquakes,500,726.1530334949493,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
55,Phoneme,ElectricDevices,1000,1254.882028579712,0.7519996323342516,0.7585959301810332,0.7519996323342516,0.7401813850500035
56,Phoneme,EthanolLevel,1000,1254.882028579712,0.25497065570351835,0.6254804539456768,0.25497065570351835,0.16782654934686128
57,Phoneme,Phoneme,1000,1254.882028579712,0.29289045325229535,0.44979659706899994,0.29289045325229535,0.24146496357750546
58,Phoneme,ECG5000,1000,1254.882028579712,0.9382002351030394,0.9288880003743519,0.9382002351030394,0.9188039332298276
59,Phoneme,Earthquakes,1000,1254.882028579712,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
60,ECG5000,ElectricDevices,50,24.08304214477539,0.6603942369694631,0.671227821727479,0.6603942369694631,0.6229720967744012
61,ECG5000,EthanolLevel,50,24.08304214477539,0.2370393541275658,0.6178931804485294,0.2370393541275658,0.15597394879948398
62,ECG5000,Phoneme,50,24.08304214477539,0.18340971054786845,0.654948314430447,0.18340971054786845,0.08761541600127842
63,ECG5000,ECG5000,50,24.08304214477539,0.9282003143188889,0.9189912716161494,0.9282003143188889,0.901754619831371
64,ECG5000,Earthquakes,50,24.08304214477539,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
65,ECG5000,ElectricDevices,100,44.44994807243347,0.6539023134218268,0.6768557646683395,0.6539023134218268,0.6165280355244694
66,ECG5000,EthanolLevel,100,44.44994807243347,0.2489856108678166,0.6240645957945362,0.2489856108678166,0.1609547610664212
67,ECG5000,Phoneme,100,44.44994807243347,0.17535305939911203,0.747434583816776,0.17535305939911203,0.07891364073783012
68,ECG5000,ECG5000,100,44.44994807243347,0.9240006740548649,0.9113188958415135,0.9240006740548649,0.8965027522026151
69,ECG5000,Earthquakes,100,44.44994807243347,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923
70,ECG5000,ElectricDevices,500,616.9164471626282,0.7152138937764659,0.7197894367044664,0.7152138937764659,0.6945466015433389
71,ECG5000,EthanolLevel,500,616.9164471626282,0.24500849048172313,0.6183079167152318,0.24500849048172313,0.15626113800430333
72,ECG5000,Phoneme,500,616.9164471626282,0.2255902732876417,0.5203604877252748,0.2255902732876417,0.1476134113238609
73,ECG5000,ECG5000,500,616.9164471626282,0.9370008351270922,0.9251561748442367,0.9370008351270922,0.9168408973039265
