,test_dataset,train_time,accuracy,precision,recall,f1
53,Phoneme,865.4357106685638,0.21847587719298245,0.5017813647296873,0.21847587719298245,0.13713787478309164
54,Meat,865.4357106685638,0.5666666666666667,0.7800290733758475,0.5666666666666667,0.465734726720958
55,PigArtPressure,865.4357106685638,0.14423076923076925,0.5401149776149776,0.14423076923076925,0.10783568283568283
56,StarLightCurves,865.4357106685638,0.9452143303378514,0.9443831993361597,0.9452143303378514,0.9446283104272158
57,AllGestureWiimoteX,865.4357106685638,,,,
58,HouseTwenty,865.4357106685638,0.6477987421383647,0.7672893659002474,0.6477987421383647,0.573716339269083
59,SmoothSubspace,865.4357106685638,0.9266666666666666,0.9307476523625717,0.9266666666666666,0.9265593351765838
60,CricketY,865.4357106685638,0.4115384615384616,0.4891298075478463,0.4115384615384616,0.3981411592597189
61,Worms,865.4357106685638,0.43798449612403106,0.6797680464710129,0.43798449612403106,0.302300153117064
62,HandOutlines,865.4357106685638,0.686117189399465,0.7606610519388868,0.686117189399465,0.6010503794086779
63,GunPoint,865.4357106685638,0.8598673300165838,0.8613707257363973,0.8598673300165838,0.8597146044792722
64,PhalangesOutlinesCorrect,865.4357106685638,0.6809631301730624,0.7335136196811253,0.6809631301730624,0.5994223424590513
65,ECG5000,865.4357106685638,0.9314003945909497,0.9230114721486958,0.9314003945909497,0.9063176138165879
66,Ham,865.4357106685638,0.5701617110067815,0.573589665876905,0.5701617110067815,0.5619422556117998
67,UWaveGestureLibraryZ,865.4357106685638,0.6686027197520512,0.657057596317347,0.6686027197520512,0.6523094192712792
68,RefrigerationDevices,865.4357106685638,0.5466666666666667,0.554077526977527,0.5466666666666667,0.5365345450975118
69,Fish,865.4357106685638,0.3343403084782395,0.7312382643513676,0.3343403084782395,0.262273594100725
70,PLAID,865.4357106685638,,,,
71,Computers,865.4357106685638,0.6920977322463506,0.7049683354436967,0.6920977322463506,0.6863675746444357
72,Mallat,865.4357106685638,0.9708333333333332,0.9719271507633384,0.9708333333333332,0.970755109013055
73,ProximalPhalanxTW,865.4357106685638,0.7636241236063905,0.7906137137831163,0.7636241236063905,0.7030308054314253
74,Coffee,865.4357106685638,0.5175438596491228,0.7504616805170823,0.5175438596491228,0.3530953821334946
75,FaceFour,865.4357106685638,0.5448079658605974,0.6891612540993345,0.5448079658605974,0.5000706222871456
76,Beef,865.4357106685638,0.4833333333333334,0.576031746031746,0.4833333333333334,0.4536267436267436
