,diversity,train_time,test_dataset,accuracy,precision,recall,f1,samples
62,20,659.8550615310669,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
63,20,659.8550615310669,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
64,20,659.8550615310669,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
65,20,660.0927205085753,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
66,20,660.0927205085753,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
67,20,660.0927205085753,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
68,20,660.0927205085753,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
69,20,660.0927205085753,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
70,20,669.3379373550415,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
71,20,669.3379373550415,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
72,20,669.3379373550415,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
73,20,669.3379373550415,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
74,20,669.3379373550415,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
75,40,663.6404182910918,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
76,40,663.6404182910918,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
77,40,663.6404182910918,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
78,40,663.6404182910918,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
79,40,663.6404182910918,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
80,40,679.3206934928894,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
81,40,679.3206934928894,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
82,40,679.3206934928894,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
83,40,679.3206934928894,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
84,40,679.3206934928894,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
85,40,668.3202192783357,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
86,40,668.3202192783357,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
87,40,668.3202192783357,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
88,40,668.3202192783357,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
89,40,668.3202192783357,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
