,diversity,train_time,test_dataset,accuracy,precision,recall,f1,samples
43,20,1962.5012593269348,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
44,20,1962.5012593269348,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
45,20,2368.080117702484,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
46,20,2368.080117702484,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
47,20,2368.080117702484,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
48,20,2368.080117702484,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
49,20,2368.080117702484,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
50,20,2409.2083044052124,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
51,20,2409.2083044052124,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
52,20,2409.2083044052124,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
53,20,2409.2083044052124,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
54,20,2409.2083044052124,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
55,20,2466.256766080857,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
56,20,2466.256766080857,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
57,20,2466.256766080857,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
58,20,2466.256766080857,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
59,20,2466.256766080857,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
60,40,2524.8920693397517,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
61,40,2524.8920693397517,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
62,40,2524.8920693397517,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
63,40,2524.8920693397517,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
64,40,2524.8920693397517,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
65,40,2402.659380435944,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
66,40,2402.659380435944,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
67,40,2402.659380435944,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
68,40,2402.659380435944,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
69,40,2402.659380435944,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
70,40,1864.532517671585,ElectricDevices,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
71,40,1864.532517671585,EthanolLevel,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
72,40,1864.532517671585,Phoneme,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
73,40,1864.532517671585,ECG5000,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
74,40,1864.532517671585,Earthquakes,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
