,diversity,test_dataset,train_time,accuracy,precision,recall,f1,samples,architecture
2,1,ElectricDevices,366.88373859723407,0.7406792920974662,0.7542726310132893,0.7406792920974662,0.7235494150651397,500.0,cnn
12,5,ElectricDevices,2027.5355684757233,0.4867764872984599,0.7670195559134418,0.4867764872984599,0.4014545957654058,500.0,cnn
2,1,ElectricDevices,223.2934327920278,0.3299479071541374,0.751147924608898,0.3299479071541374,0.2063228644830529,500.0,rnn
7,3,ElectricDevices,1929.8376269340515,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,cnn
17,10,ElectricDevices,2001.7885395288467,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,cnn
22,20,ElectricDevices,2301.511611878872,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,cnn
27,40,ElectricDevices,2264.0279891490936,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,cnn
7,3,ElectricDevices,102.10206349690755,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,rnn
12,5,ElectricDevices,125.22377626101176,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,rnn
17,10,ElectricDevices,335.02873190244037,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,rnn
22,20,ElectricDevices,663.0952397982279,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,rnn
27,40,ElectricDevices,670.4271103541056,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0,rnn
1,1,Earthquakes,366.88373859723407,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
6,3,Earthquakes,1929.8376269340515,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
11,5,Earthquakes,2027.5355684757233,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
16,10,Earthquakes,2001.7885395288467,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
21,20,Earthquakes,2301.511611878872,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
26,40,Earthquakes,2264.0279891490936,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,cnn
1,1,Earthquakes,223.2934327920278,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
6,3,Earthquakes,102.10206349690755,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
11,5,Earthquakes,125.22377626101176,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
16,10,Earthquakes,335.02873190244037,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
21,20,Earthquakes,663.0952397982279,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
26,40,Earthquakes,670.4271103541056,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0,rnn
